Ensembl_ID	7d31ccae-fd6c-41b6-bdfb-2a42fd68b4c9
ENSG00000242268.2	0.0
ENSG00000270112.3	0.0
ENSG00000167578.15	16.429378291691354
ENSG00000273842.1	0.0
ENSG00000078237.5	15.828204477680044
ENSG00000146083.10	17.13440615991299
ENSG00000225275.4	0.0
ENSG00000158486.12	0.0
ENSG00000198242.12	22.25748343338688
ENSG00000259883.1	0.0
ENSG00000231981.3	0.0
ENSG00000269475.2	0.0
ENSG00000201788.1	0.0
ENSG00000134108.11	19.901866923534794
ENSG00000263089.1	0.0
ENSG00000172137.17	15.189339762402362
ENSG00000167700.7	19.370221223155568
ENSG00000234943.2	0.0
ENSG00000240423.1	0.0
ENSG00000060642.9	16.837523978789395
ENSG00000271616.1	0.0
ENSG00000234881.1	0.0
ENSG00000236040.1	0.0
ENSG00000231105.1	12.564443501666338
ENSG00000243044.1	0.0
ENSG00000182141.8	13.664434180897414
ENSG00000269416.4	0.0
ENSG00000264981.1	0.0
ENSG00000275265.1	0.0
ENSG00000185105.4	9.186639193224893
ENSG00000233540.1	0.0
ENSG00000102174.8	11.977468312258138
ENSG00000271647.1	9.00110015967626
ENSG00000166391.13	10.433407574366358
ENSG00000270469.1	9.785507979770784
ENSG00000070087.12	18.590265434189938
ENSG00000262950.1	0.0
ENSG00000255420.1	0.0
ENSG00000280038.1	0.0
ENSG00000266261.1	0.0
ENSG00000153561.11	17.868821071485314
ENSG00000269148.1	0.0
ENSG00000274458.1	0.0
ENSG00000273406.1	0.0
ENSG00000179262.8	19.896813989512
ENSG00000214198.6	12.771793502227734
ENSG00000278099.1	0.0
ENSG00000166368.2	0.0
ENSG00000206072.11	0.0
ENSG00000234900.1	0.0
ENSG00000258630.1	0.0
ENSG00000127511.8	17.111140803773306
ENSG00000220993.1	0.0
ENSG00000225269.2	0.0
ENSG00000214062.5	0.0
ENSG00000095587.8	14.420519164225974
ENSG00000274219.1	0.0
ENSG00000230100.1	0.0
ENSG00000064601.15	19.431080273686703
ENSG00000227766.1	17.93057815792662
ENSG00000008517.15	17.72730697443251
ENSG00000215246.5	11.141800206864945
ENSG00000266644.1	0.0
ENSG00000236893.1	0.0
ENSG00000254465.1	0.0
ENSG00000088179.7	14.560565582171789
ENSG00000070081.14	19.29230754973208
ENSG00000275479.1	12.021512732460971
ENSG00000166634.5	0.0
ENSG00000261789.1	0.0
ENSG00000254092.1	0.0
ENSG00000197421.8	0.0
ENSG00000161558.9	14.897559034250003
ENSG00000276644.3	16.889268384927924
ENSG00000260900.1	0.0
ENSG00000278732.1	0.0
ENSG00000196167.8	11.67753741414247
ENSG00000268465.1	0.0
ENSG00000264438.2	0.0
ENSG00000204113.6	0.0
ENSG00000207000.1	0.0
ENSG00000254131.1	0.0
ENSG00000118972.1	0.0
ENSG00000264104.1	0.0
ENSG00000179833.4	17.901044796451643
ENSG00000264576.1	0.0
ENSG00000064225.11	14.429023183748999
ENSG00000267108.1	14.377108912421905
ENSG00000221372.1	0.0
ENSGR0000264510.4	0.0
ENSG00000057294.12	17.301183124137722
ENSG00000227535.2	0.0
ENSG00000252628.2	0.0
ENSG00000166007.11	0.0
ENSG00000273055.1	14.860206284783139
ENSG00000242041.1	0.0
ENSG00000278923.1	0.0
ENSG00000167768.4	9.169167840751092
ENSG00000280159.1	8.204993622717186
ENSG00000235240.1	0.0
ENSG00000264172.1	0.0
ENSG00000199903.1	0.0
ENSG00000200058.1	0.0
ENSG00000275358.1	0.0
ENSG00000218358.2	0.0
ENSG00000266460.1	0.0
ENSG00000260371.1	0.0
ENSG00000264091.1	0.0
ENSG00000238921.2	0.0
ENSG00000274815.1	0.0
ENSG00000269349.1	0.0
ENSG00000200291.1	0.0
ENSG00000233614.6	13.220436572285836
ENSG00000022567.8	14.652148514213982
ENSG00000241670.3	0.0
ENSG00000278933.1	0.0
ENSG00000202175.1	0.0
ENSG00000120662.14	14.562591624630283
ENSG00000235523.1	0.0
ENSG00000249848.1	0.0
ENSG00000277826.1	0.0
ENSG00000230225.1	0.0
ENSG00000239877.2	0.0
ENSG00000201398.1	0.0
ENSG00000281474.1	0.0
ENSG00000272905.1	0.0
ENSG00000259952.1	0.0
ENSG00000260812.1	0.0
ENSG00000225630.1	20.968347053201363
ENSG00000230231.1	0.0
ENSG00000164283.11	16.890576542827866
ENSG00000231880.2	0.0
ENSG00000227489.1	0.0
ENSG00000254555.1	0.0
ENSG00000013392.7	16.729363838959376
ENSG00000258279.2	0.0
ENSG00000226688.5	12.705142722219952
ENSG00000250929.2	0.0
ENSG00000204581.2	0.0
ENSG00000225620.1	0.0
ENSG00000258477.1	12.069832550091077
ENSG00000225488.1	0.0
ENSG00000184178.14	17.145753084917565
ENSG00000237786.1	0.0
ENSG00000166913.11	21.565475120432783
ENSG00000275856.1	0.0
ENSG00000164112.11	0.0
ENSG00000259345.4	11.244788309383113
ENSG00000130204.11	18.47592518471223
ENSG00000280387.1	0.0
ENSG00000189099.10	0.0
ENSG00000232879.2	0.0
ENSG00000111863.11	11.67690303019114
ENSG00000164182.9	19.27431237276855
ENSG00000109618.10	15.958317540556447
ENSG00000271623.1	0.0
ENSG00000279345.1	0.0
ENSG00000214866.6	10.972415225561376
ENSG00000153015.14	17.333504120679798
