Ensembl_ID	TCGA-PL-A8LX-01A
ENSG00000242268.2	0.0
ENSG00000270112.3	0.0
ENSG00000167578.15	16.81571333226987
ENSG00000273842.1	0.0
ENSG00000078237.5	15.669691003845541
ENSG00000146083.10	17.625679368112767
ENSG00000225275.4	0.0
ENSG00000158486.12	10.317044170472359
ENSG00000198242.12	22.25249011666497
ENSG00000259883.1	9.348435661269477
ENSG00000231981.3	0.0
ENSG00000269475.2	0.0
ENSG00000201788.1	0.0
ENSG00000134108.11	19.13126976173804
ENSG00000263089.1	11.333066666121686
ENSG00000172137.17	10.204168603835384
ENSG00000167700.7	19.105415821577665
ENSG00000234943.2	0.0
ENSG00000240423.1	0.0
ENSG00000060642.9	17.507775386491772
ENSG00000271616.1	0.0
ENSG00000234881.1	0.0
ENSG00000236040.1	0.0
ENSG00000231105.1	9.66304592356769
ENSG00000243044.1	0.0
ENSG00000182141.8	15.323660646609525
ENSG00000269416.4	14.400121162337731
ENSG00000264981.1	0.0
ENSG00000275265.1	11.107739004177906
ENSG00000185105.4	10.259678423858908
ENSG00000233540.1	10.308589244224986
ENSG00000102174.8	8.62215704888898
ENSG00000271647.1	0.0
ENSG00000166391.13	10.72994593200424
ENSG00000270469.1	10.858989217567895
ENSG00000070087.12	19.50941747316885
ENSG00000262950.1	0.0
ENSG00000255420.1	0.0
ENSG00000280038.1	0.0
ENSG00000266261.1	10.780281464684982
ENSG00000153561.11	18.033972126328806
ENSG00000269148.1	11.359928019998799
ENSG00000274458.1	0.0
ENSG00000273406.1	0.0
ENSG00000179262.8	20.249636377185237
ENSG00000214198.6	11.592637718106626
ENSG00000278099.1	0.0
ENSG00000166368.2	0.0
ENSG00000206072.11	0.0
ENSG00000234900.1	0.0
ENSG00000258630.1	9.207083473833492
ENSG00000127511.8	16.90675715802754
ENSG00000220993.1	0.0
ENSG00000225269.2	0.0
ENSG00000214062.5	0.0
ENSG00000095587.8	9.64628766423801
ENSG00000274219.1	0.0
ENSG00000230100.1	0.0
ENSG00000064601.15	19.156666494961364
ENSG00000227766.1	18.43854287320221
ENSG00000008517.15	15.555716260293881
ENSG00000215246.5	9.757737307883522
ENSG00000266644.1	11.393023878464616
ENSG00000236893.1	8.680584943356168
ENSG00000254465.1	0.0
ENSG00000088179.7	15.373212202062895
ENSG00000070081.14	19.183715993331692
ENSG00000275479.1	15.510573991243847
ENSG00000166634.5	0.0
ENSG00000261789.1	0.0
ENSG00000254092.1	0.0
ENSG00000197421.8	8.518682097010002
ENSG00000161558.9	15.683048685384922
ENSG00000276644.3	18.947745305295353
ENSG00000260900.1	0.0
ENSG00000278732.1	0.0
ENSG00000196167.8	8.655483368147104
ENSG00000268465.1	0.0
ENSG00000264438.2	0.0
ENSG00000204113.6	0.0
ENSG00000207000.1	0.0
ENSG00000254131.1	11.807927257973017
ENSG00000118972.1	0.0
ENSG00000264104.1	0.0
ENSG00000179833.4	17.203526293227114
ENSG00000264576.1	0.0
ENSG00000064225.11	14.702180754417096
ENSG00000267108.1	15.54452060445106
ENSG00000221372.1	0.0
ENSGR0000264510.4	0.0
ENSG00000057294.12	16.088544831805276
ENSG00000227535.2	0.0
ENSG00000252628.2	12.527661253040193
ENSG00000166007.11	0.0
ENSG00000273055.1	14.456514554412273
ENSG00000242041.1	0.0
ENSG00000278923.1	0.0
ENSG00000167768.4	9.979395022167452
ENSG00000280159.1	11.497327709605546
ENSG00000235240.1	0.0
ENSG00000264172.1	0.0
ENSG00000199903.1	0.0
ENSG00000200058.1	0.0
ENSG00000275358.1	12.445213464994783
ENSG00000218358.2	12.63325419423469
ENSG00000266460.1	0.0
ENSG00000260371.1	0.0
ENSG00000264091.1	12.91462688613039
ENSG00000238921.2	0.0
ENSG00000274815.1	0.0
ENSG00000269349.1	10.741253694549687
ENSG00000200291.1	0.0
ENSG00000233614.6	8.191045875338792
ENSG00000022567.8	16.224015526970653
ENSG00000241670.3	0.0
ENSG00000278933.1	0.0
ENSG00000202175.1	0.0
ENSG00000120662.14	15.404614284074166
ENSG00000235523.1	0.0
ENSG00000249848.1	0.0
ENSG00000277826.1	0.0
ENSG00000230225.1	0.0
ENSG00000239877.2	0.0
ENSG00000201398.1	0.0
ENSG00000281474.1	0.0
ENSG00000272905.1	12.138386089121006
ENSG00000259952.1	0.0
ENSG00000260812.1	0.0
ENSG00000225630.1	21.393473548840607
ENSG00000230231.1	0.0
ENSG00000164283.11	18.624221180941422
ENSG00000231880.2	0.0
ENSG00000227489.1	0.0
ENSG00000254555.1	0.0
ENSG00000013392.7	16.45016352695807
ENSG00000258279.2	0.0
ENSG00000226688.5	10.816592598537353
ENSG00000250929.2	0.0
ENSG00000204581.2	11.000033521933036
ENSG00000225620.1	0.0
ENSG00000258477.1	11.559352453702797
ENSG00000225488.1	0.0
ENSG00000184178.14	17.842768141038807
ENSG00000237786.1	10.562722570766619
ENSG00000166913.11	21.31114234059112
ENSG00000275856.1	0.0
ENSG00000164112.11	10.96025221792428
ENSG00000259345.4	15.600597987990735
ENSG00000130204.11	18.616381202405783
ENSG00000280387.1	0.0
ENSG00000189099.10	0.0
ENSG00000232879.2	12.50242827319885
ENSG00000111863.11	8.920891880960394
ENSG00000164182.9	18.255047518726627
